,COUNTRY,REGION,CATEGORY,MEASURE,COMMENTS,SOURCE,ENTRY_DATE,ISO_ALP_2
2641,Botswana,Africa,Social distancing,limit public gatherings,All public gatherings of more than 10 people are prohibited. ,ministry of health,2020-03-27,BW
2642,Botswana,Africa,Movement restrictions,international flights suspension,"International travel for all public officials, parastatals and state owned entities is prohibited. ",ministry of health,2020-03-27,BW
2643,Botswana,Africa,Social distancing,limit public gatherings,"All international conferences for public officials, state owned entities and parastatals are cancelled. ",ministry of health,2020-03-27,BW
2644,Botswana,Africa,Social distancing,limit public gatherings,Max of 50 people allowed in public places with a distance of 1-2m between each.,ministry of health,2020-03-27,BW
2645,Botswana,Africa,Social distancing,limit public gatherings,Visits to prisons is prohibited.,ministry of health,2020-03-27,BW
2646,Botswana,Africa,Social distancing,limit public gatherings,Funerals & memorial services shall last no more than 2 hours and food shall not be provided.,ministry of health,2020-03-27,BW
2647,Botswana,Africa,Public health measures,general recommendations,Public encouraged to cancel all non-essential travel. ,ministry of health,2020-03-27,BW
2648,Eritrea,Africa,Movement restrictions,domestic travel restrictions,"Every person should avoid non-essential movement within the city or village of residence as well as travel to other places inside the country.  Every person should likewise avoid travel by bus, mini-bus and taxis unless in emergencies.",ministry of health,2020-03-27,ER
2649,Eritrea,Africa,Social distancing,limit public gatherings,"All public gatherings, sport and cultural events that assemble a crowd of more than 10 people are prohibited.  Cinemas and night-clubs will remain closed until further notice.  Social distancing must be heeded to in other commercial units and centers.",ministry of health,2020-03-27,ER
2650,Eritrea,Africa,Social distancing,limit public gatherings,"Aggregation of more than 10 people at social events (funerals, weddings, mourning, baptism and other gatherings) is banned.",ministry of health,2020-03-27,ER
2651,Eritrea,Africa,Public health measures,general recommendations,"All Eritrean nationals living abroad are urged to take all necessary precautionary measures for their own safety, the safety of their families as well as the Eritrean communities.  They should also refrain from travelling to Eritrea.",ministry of health,2020-03-27,ER
2652,Eritrea,Africa,Governance and socio-economic measures,economic measures,Stringent legal measures will be taken on all individuals and commercial enterprises that engage in hoarding and speculative price hikes by misconstruing the precautionary measures that are being taken to safeguard the safety of the Eritrean people and the country.,ministry of health,2020-03-27,ER
2653,Comoros,Africa,Movement restrictions,international flights suspension,"All international commercial flights, with the exception of cargo flights, are suspended until further notice.",us embassy,2020-03-27,KM
2654,Comoros,Africa,Social distancing,limit public gatherings,Friday and collective prayers in mosques are prohibited. All mosques throughout the country will remain closed until the health situation is resolved.,us embassy,2020-03-27,KM
2655,Comoros,Africa,Social distancing,limit public gatherings,"All public festivities (ie, weddings) and gatherings (election campaigns, rallies, concerts, entertainment, etc) are suspended until further notice.",us embassy,2020-03-27,KM
2656,Comoros,Africa,Social distancing,changes in prison-related policies,"Only family members, relatives of the deceased, and residents of the villages concerned, may attend funerals.",us embassy,2020-03-27,KM
2657,Comoros,Africa,Governance and socio-economic measures,emergency administrative structures activated or established,Scientific Committee has been set up to lead the fight against COVID-19.,us embassy,2020-03-27,KM
2658,Comoros,Africa,Movement restrictions,domestic travel restrictions,Sea travel between  islands is suspended until further notice. Bus travel are strictly regulated.,us embassy,2020-03-27,KM
2659,Comoros,Africa,Social distancing,limit public gatherings,All sporting events will be played behind closed doors in all sports arenas.,us embassy,2020-03-27,KM
2660,Congo,Africa,Movement restrictions,Border closure,"All borders are closed untile further notice, with exception of trade transportation.",government ? congo,2020-03-27,CG
2661,Eswatini,Africa,Lockdown,partial lockdown,Partial lockdown to be enforced for 20 days.,eswatini government,2020-03-27,SZ
2662,Eswatini,Africa,Movement restrictions,Border closure,"Eswatini to close all borders to all but cargo, returning citizens, and legal residents effective immediately.",garda,2020-03-27,SZ
2663,Eswatini,Africa,Public health measures,introduction of isolation and quarantine policies,All returning residents will be subject to a mandatory 14-day quarantine in a designated location.,garda,2020-03-27,SZ
2664,Eswatini,Africa,Governance and socio-economic measures,military deployment,The military will be deplyed to enforce the lockdown. ,journal du cameroun,2020-03-27,SZ
2665,Eswatini,Africa,Movement restrictions,domestic travel restrictions,"Domestic travel restrictions will be in place for 20 days, banning non-essential travel between towns, cities, and regions of the country except for food transportation and medical reasons.",garda,2020-03-27,SZ
2666,Eswatini,Africa,Social distancing,limit public gatherings,Public transportation will only operate for essential movement. ,garda,2020-03-27,SZ
2667,Eswatini,Africa,Social distancing,limit public gatherings,"Only 20 people will be allowed in restaurants or banks, and gatherings of more than 20 people are prohibited.",garda,2020-03-27,SZ
